Fips,State / County,7/1/98 Estimate,7/1/99 Estimate,Numeric Population Change 98-99,Percent Pop Change
     ,United States," 270,248,003","272,690,813 "," 2,442,810",  0.9
01   ,Alabama," 4,351,037","4,369,862 "," 18,825",  0.4
01001,"Autauga County, AL"," 42,193","43,140 ", 947,  2.2
01003,"Baldwin County, AL"," 132,857","135,820 "," 2,963",  2.2
01005,"Barbour County, AL"," 26,936","26,726 ", -210, -0.8
01007,"Bibb County, AL"," 18,987","19,601 ", 614,  3.2
01009,"Blount County, AL"," 46,292","47,411 "," 1,119",  2.4
01011,"Bullock County, AL"," 11,325","11,343 ", 18,  0.2
01013,"Butler County, AL"," 21,658","21,522 ", -136, -0.6
01015,"Calhoun County, AL"," 117,083","116,541 ", -542, -0.5
01017,"Chambers County, AL"," 36,706","36,369 ", -337, -0.9
01019,"Cherokee County, AL"," 21,827","21,894 ", 67,  0.3
01021,"Chilton County, AL"," 36,926","37,604 ", 678,  1.8
01023,"Choctaw County, AL"," 15,829","15,518 ", -311, -2.0
01025,"Clarke County, AL"," 28,531","28,756 ", 225,  0.8
01027,"Clay County, AL"," 13,966","14,012 ", 46,  0.3
01029,"Cleburne County, AL"," 14,283","14,456 ", 173,  1.2
01031,"Coffee County, AL"," 42,222","42,128 ", -94, -0.2
01033,"Colbert County, AL"," 52,924","52,552 ", -372, -0.7
01035,"Conecuh County, AL"," 13,863","13,728 ", -135, -1.0
01037,"Coosa County, AL"," 11,637","11,712 ", 75,  0.6
01039,"Covington County, AL"," 37,461","37,587 ", 126,  0.3
01041,"Crenshaw County, AL"," 13,626","13,619 ", -7, -0.1
01043,"Cullman County, AL"," 74,944","75,661 ", 717,  1.0
01045,"Dale County, AL"," 48,916","49,127 ", 211,  0.4
01047,"Dallas County, AL"," 46,803","46,669 ", -134, -0.3
01049,"DeKalb County, AL"," 58,274","58,948 ", 674,  1.2
01051,"Elmore County, AL"," 61,985","63,488 "," 1,503",  2.4
01053,"Escambia County, AL"," 36,732","36,671 ", -61, -0.2
01055,"Etowah County, AL"," 103,923","103,472 ", -451, -0.4
01057,"Fayette County, AL"," 18,096","18,103 ", 7,  0.0
01059,"Franklin County, AL"," 29,684","29,716 ", 32,  0.1
01061,"Geneva County, AL"," 24,875","24,968 ", 93,  0.4
01063,"Greene County, AL"," 9,843","9,756 ", -87, -0.9
01065,"Hale County, AL"," 16,750","16,870 ", 120,  0.7
01067,"Henry County, AL"," 15,798","15,787 ", -11, -0.1
01069,"Houston County, AL"," 85,613","86,116 ", 503,  0.6
01071,"Jackson County, AL"," 51,339","51,535 ", 196,  0.4
01073,"Jefferson County, AL"," 660,039","657,422 "," -2,617", -0.4
01075,"Lamar County, AL"," 16,012","16,034 ", 22,  0.1
01077,"Lauderdale County, AL"," 84,206","84,327 ", 121,  0.1
01079,"Lawrence County, AL"," 33,447","33,795 ", 348,  1.0
01081,"Lee County, AL"," 100,481","102,164 "," 1,683",  1.7
01083,"Limestone County, AL"," 62,247","63,037 ", 790,  1.3
01085,"Lowndes County, AL"," 12,984","13,029 ", 45,  0.3
01087,"Macon County, AL"," 23,207","22,993 ", -214, -0.9
01089,"Madison County, AL"," 278,008","280,381 "," 2,373",  0.9
01091,"Marengo County, AL"," 23,375","23,158 ", -217, -0.9
01093,"Marion County, AL"," 30,857","30,464 ", -393, -1.3
01095,"Marshall County, AL"," 80,192","80,524 ", 332,  0.4
01097,"Mobile County, AL"," 398,886","399,652 ", 766,  0.2
01099,"Monroe County, AL"," 24,005","23,960 ", -45, -0.2
01101,"Montgomery County, AL"," 217,392","215,813 "," -1,579", -0.7
01103,"Morgan County, AL"," 109,218","109,665 ", 447,  0.4
01105,"Perry County, AL"," 12,682","12,610 ", -72, -0.6
01107,"Pickens County, AL"," 21,019","21,028 ", 9,  0.0
01109,"Pike County, AL"," 28,648","28,469 ", -179, -0.6
01111,"Randolph County, AL"," 20,025","20,263 ", 238,  1.2
01113,"Russell County, AL"," 50,368","50,071 ", -297, -0.6
01115,"St. Clair County, AL"," 62,018","63,852 "," 1,834",  3.0
01117,"Shelby County, AL"," 140,853","146,392 "," 5,539",  3.9
01119,"Sumter County, AL"," 15,765","15,615 ", -150, -1.0
01121,"Talladega County, AL"," 77,025","77,521 ", 496,  0.6
01123,"Tallapoosa County, AL"," 40,360","40,329 ", -31, -0.1
01125,"Tuscaloosa County, AL"," 160,761","161,435 ", 674,  0.4
01127,"Walker County, AL"," 71,006","71,318 ", 312,  0.4
01129,"Washington County, AL"," 17,663","17,742 ", 79,  0.4
01131,"Wilcox County, AL"," 13,451","13,414 ", -37, -0.3
01133,"Winston County, AL"," 24,130","24,459 ", 329,  1.4
02   ,Alaska," 615,205","619,500 "," 4,295",  0.7
02013,"Aleutians East Borough, AK"," 2,221","2,179 ", -42, -1.9
02016,"Aleutians West Census Area, AK"," 3,941","3,913 ", -28, -0.7
02020,"Anchorage Borough, AK"," 255,618","257,808 "," 2,190",  0.9
02050,"Bethel Census Area, AK"," 16,005","16,215 ", 210,  1.3
02060,"Bristol Bay Borough, AK"," 1,090","1,061 ", -29, -2.7
02068,"Denali Borough, AK"," 1,938","1,883 ", -55, -2.8
02070,"Dillingham Census Area, AK"," 4,488","4,565 ", 77,  1.7
02090,"Fairbanks North Star Borough, AK"," 84,253","84,366 ", 113,  0.1
02100,"Haines Borough, AK"," 2,321","2,288 ", -33, -1.4
02110,"Juneau Borough, AK"," 30,143","30,192 ", 49,  0.2
02122,"Kenai Peninsula Borough, AK"," 48,321","48,993 ", 672,  1.4
02130,"Ketchikan Gateway Borough, AK"," 14,228","14,097 ", -131, -0.9
02150,"Kodiak Island Borough, AK"," 14,479","14,350 ", -129, -0.9
02164,"Lake and Peninsula Borough, AK"," 1,736","1,748 ", 12,  0.7
02170,"Matanuska-Susitna Borough, AK"," 55,793","57,945 "," 2,152",  3.9
02180,"Nome Census Area, AK"," 9,004","8,908 ", -96, -1.1
02185,"North Slope Borough, AK"," 7,017","7,089 ", 72,  1.0
